Employee,Permission,TP / FP
e1,1eca5b97e2fdeca13315b61c67d78b21,TP
e1,3468fea265241f08d599272c627440d5,TP
e1,558caa25ef48d0d94a70b1f982a9f7fd,TP
e1,6b2927e68697025937efa2477267d02b,TP
e1,7ed44d168e719b1c6082cd6018fe3c83,TP
e1,b64ede32c41d4b437031f83f8928903a,TP
e10,1021206a20a03a43db3eac195a10d4c4,TP
e10,7ed44d168e719b1c6082cd6018fe3c83,TP
e10,b64ede32c41d4b437031f83f8928903a,TP
e10,f9ace4c651d81f7be661fc64fff97e0c,TP
e11,1021206a20a03a43db3eac195a10d4c4,TP
e11,7ed44d168e719b1c6082cd6018fe3c83,TP
e11,b64ede32c41d4b437031f83f8928903a,TP
e11,f9ace4c651d81f7be661fc64fff97e0c,TP
e12,1fb0ba8ee828054981b6271075a0efaf,TP
e12,2f3e991675beaf237a9ee93eb22e3175,TP
e12,531144b4c8ef3df2a75629ff2e53c066,TP
e12,6b2927e68697025937efa2477267d02b,TP
e12,7ed44d168e719b1c6082cd6018fe3c83,TP
e12,9b0489eab5187c425118a3e05126e128,TP
e12,b64ede32c41d4b437031f83f8928903a,TP
e12,bc5f4e021a75b491e1ca4b391295c52c,TP
e12,e8c01c3b4325c60e394f36effb416304,TP
e13,1fb0ba8ee828054981b6271075a0efaf,TP
e13,7ed44d168e719b1c6082cd6018fe3c83,TP
e13,b64ede32c41d4b437031f83f8928903a,TP
e13,bc5f4e021a75b491e1ca4b391295c52c,TP
e13,e8c01c3b4325c60e394f36effb416304,TP
e14,1fb0ba8ee828054981b6271075a0efaf,TP
e14,7ed44d168e719b1c6082cd6018fe3c83,TP
e14,b64ede32c41d4b437031f83f8928903a,TP
e14,bc5f4e021a75b491e1ca4b391295c52c,TP
e14,e8c01c3b4325c60e394f36effb416304,TP
e2,5d258a179bb4739ac33ef1b60410d1c7,TP
e2,7ed44d168e719b1c6082cd6018fe3c83,TP
e2,b64ede32c41d4b437031f83f8928903a,TP
e2,d7ee381184329c2fcd07ba2af0fc76e2,TP
e2,e145be4f19cc0bccb7c0fcad23e01347,TP
e3,2f3e991675beaf237a9ee93eb22e3175,TP
e3,3468fea265241f08d599272c627440d5,TP
e3,531144b4c8ef3df2a75629ff2e53c066,TP
e3,5d258a179bb4739ac33ef1b60410d1c7,TP
e3,7ed44d168e719b1c6082cd6018fe3c83,TP
e3,9b0489eab5187c425118a3e05126e128,TP
e3,b64ede32c41d4b437031f83f8928903a,TP
e3,d7ee381184329c2fcd07ba2af0fc76e2,TP
e3,e145be4f19cc0bccb7c0fcad23e01347,TP
e3,f5d6b1f22e3ed8688aaea8110150565f,TP
e4,5d258a179bb4739ac33ef1b60410d1c7,TP
e4,7ed44d168e719b1c6082cd6018fe3c83,TP
e4,b64ede32c41d4b437031f83f8928903a,TP
e4,d7ee381184329c2fcd07ba2af0fc76e2,TP
e4,e145be4f19cc0bccb7c0fcad23e01347,TP
e4,f5d6b1f22e3ed8688aaea8110150565f,TP
e5,5d258a179bb4739ac33ef1b60410d1c7,TP
e5,7ed44d168e719b1c6082cd6018fe3c83,TP
e5,b64ede32c41d4b437031f83f8928903a,TP
e5,d7ee381184329c2fcd07ba2af0fc76e2,TP
e5,e145be4f19cc0bccb7c0fcad23e01347,TP
e5,f5d6b1f22e3ed8688aaea8110150565f,TP
e6,1021206a20a03a43db3eac195a10d4c4,TP
e6,2f3e991675beaf237a9ee93eb22e3175,TP
e6,531144b4c8ef3df2a75629ff2e53c066,TP
e6,7ed44d168e719b1c6082cd6018fe3c83,TP
e6,9b0489eab5187c425118a3e05126e128,TP
e6,b64ede32c41d4b437031f83f8928903a,TP
e6,f9ace4c651d81f7be661fc64fff97e0c,TP
e7,1021206a20a03a43db3eac195a10d4c4,TP
e7,558caa25ef48d0d94a70b1f982a9f7fd,TP
e7,7ed44d168e719b1c6082cd6018fe3c83,TP
e7,b64ede32c41d4b437031f83f8928903a,TP
e7,f9ace4c651d81f7be661fc64fff97e0c,TP
e8,1021206a20a03a43db3eac195a10d4c4,TP
e8,7ed44d168e719b1c6082cd6018fe3c83,TP
e8,b64ede32c41d4b437031f83f8928903a,TP
e8,f9ace4c651d81f7be661fc64fff97e0c,TP
e9,1021206a20a03a43db3eac195a10d4c4,TP
e9,7ed44d168e719b1c6082cd6018fe3c83,TP
e9,b64ede32c41d4b437031f83f8928903a,TP
e9,f9ace4c651d81f7be661fc64fff97e0c,TP
e1,1021206a20a03a43db3eac195a10d4c4,FP
e1,f5d6b1f22e3ed8688aaea8110150565f,FP
e10,3468fea265241f08d599272c627440d5,FP
e10,531144b4c8ef3df2a75629ff2e53c066,FP
e10,589ba5cb80b06d123ad3801c5c8e8b6b,FP
e10,ea181283996bfb10a05c1f7da71c4dc4,FP
e10,f5d6b1f22e3ed8688aaea8110150565f,FP
e11,1fb0ba8ee828054981b6271075a0efaf,FP
e11,2efa14e44aff86b4d3996de048d6507c,FP
e11,4a2519bf88193164d5ad707dabe68864,FP
e11,5d258a179bb4739ac33ef1b60410d1c7,FP
e11,ea181283996bfb10a05c1f7da71c4dc4,FP
e11,f0c3482039f038e50727995d395fa2a7,FP
e11,f5d6b1f22e3ed8688aaea8110150565f,FP
e12,3468fea265241f08d599272c627440d5,FP
e12,4a2519bf88193164d5ad707dabe68864,FP
e12,5c5d73b2bcd5d4e2cce01f1923a43768,FP
e12,ea181283996bfb10a05c1f7da71c4dc4,FP
e12,f0c3482039f038e50727995d395fa2a7,FP
e12,f5d6b1f22e3ed8688aaea8110150565f,FP
e13,5c5d73b2bcd5d4e2cce01f1923a43768,FP
e13,6b2927e68697025937efa2477267d02b,FP
e13,ea181283996bfb10a05c1f7da71c4dc4,FP
e13,f5d6b1f22e3ed8688aaea8110150565f,FP
e14,2efa14e44aff86b4d3996de048d6507c,FP
e14,5c5d73b2bcd5d4e2cce01f1923a43768,FP
e14,5d258a179bb4739ac33ef1b60410d1c7,FP
e14,6b2927e68697025937efa2477267d02b,FP
e14,8d81ec48213501a45ec264e8aea6b6aa,FP
e14,d7ee381184329c2fcd07ba2af0fc76e2,FP
e14,e145be4f19cc0bccb7c0fcad23e01347,FP
e14,ea181283996bfb10a05c1f7da71c4dc4,FP
e14,f5d6b1f22e3ed8688aaea8110150565f,FP
e2,1021206a20a03a43db3eac195a10d4c4,FP
e2,1eca5b97e2fdeca13315b61c67d78b21,FP
e2,22d929f5ce8602c94bc4a174c53bff30,FP
e2,4a2519bf88193164d5ad707dabe68864,FP
e2,558caa25ef48d0d94a70b1f982a9f7fd,FP
e2,601e4a77b43cede11eec604a955755cd,FP
e2,9b0489eab5187c425118a3e05126e128,FP
e2,e8c01c3b4325c60e394f36effb416304,FP
e2,f0c3482039f038e50727995d395fa2a7,FP
e2,f5d6b1f22e3ed8688aaea8110150565f,FP
e2,f9ace4c651d81f7be661fc64fff97e0c,FP
e3,558caa25ef48d0d94a70b1f982a9f7fd,FP
e3,589ba5cb80b06d123ad3801c5c8e8b6b,FP
e3,6b2927e68697025937efa2477267d02b,FP
e3,e8c01c3b4325c60e394f36effb416304,FP
e3,f0c3482039f038e50727995d395fa2a7,FP
e3,f9ace4c651d81f7be661fc64fff97e0c,FP
e4,2efa14e44aff86b4d3996de048d6507c,FP
e4,6b2927e68697025937efa2477267d02b,FP
e4,ea181283996bfb10a05c1f7da71c4dc4,FP
e4,f0c3482039f038e50727995d395fa2a7,FP
e4,f9ace4c651d81f7be661fc64fff97e0c,FP
e5,22d929f5ce8602c94bc4a174c53bff30,FP
e5,5c5d73b2bcd5d4e2cce01f1923a43768,FP
e5,8d81ec48213501a45ec264e8aea6b6aa,FP
e6,3468fea265241f08d599272c627440d5,FP
e6,589ba5cb80b06d123ad3801c5c8e8b6b,FP
e6,ea181283996bfb10a05c1f7da71c4dc4,FP
e7,589ba5cb80b06d123ad3801c5c8e8b6b,FP
e7,5c5d73b2bcd5d4e2cce01f1923a43768,FP
e7,bc5f4e021a75b491e1ca4b391295c52c,FP
e7,e145be4f19cc0bccb7c0fcad23e01347,FP
e7,f5d6b1f22e3ed8688aaea8110150565f,FP
e8,1fb0ba8ee828054981b6271075a0efaf,FP
e8,22d929f5ce8602c94bc4a174c53bff30,FP
e8,2f3e991675beaf237a9ee93eb22e3175,FP
e8,531144b4c8ef3df2a75629ff2e53c066,FP
e8,589ba5cb80b06d123ad3801c5c8e8b6b,FP
e8,5c5d73b2bcd5d4e2cce01f1923a43768,FP
e8,6520fc6b5ea39bbd2c758e810eb201e0,FP
e8,8d81ec48213501a45ec264e8aea6b6aa,FP
e8,f5d6b1f22e3ed8688aaea8110150565f,FP
e9,589ba5cb80b06d123ad3801c5c8e8b6b,FP
e9,5d258a179bb4739ac33ef1b60410d1c7,FP
e9,8d81ec48213501a45ec264e8aea6b6aa,FP
e9,d7ee381184329c2fcd07ba2af0fc76e2,FP
e9,f0c3482039f038e50727995d395fa2a7,FP
