#,Nudge,R,TP,FP,FN,TN,t,MD,TD,PF,FL
r99,accept,58,79,23,1,289,13,1,0,1,0
r102,accept,85,68,7,12,305,14,0,-2,2,-2
r34,accept,58,80,22,0,290,12,2,1,3,2
r37,accept,63,72,25,8,287,15,0,-1,1,0
r40,accept,68,77,15,3,297,27,0,-2,2,0
r42,accept,57,78,25,2,287,34,1,-1,1,1
r43,accept,71,79,10,1,302,23,-3,-3,3,-3
r47,accept,72,76,12,4,300,9,-3,-3,3,-3
r49,accept,69,75,16,5,296,5,-3,-2,3,-3
r51,accept,63,79,18,1,294,9,-3,-3,3,-3
r56,accept,72,80,8,0,304,3,-3,-3,3,-3
r93,accept,95,58,7,22,305,29,1,0,-2,3
r29,accept,35,73,52,7,260,50,1,1,1,-1
r13,accept,69,79,12,1,300,28,0,0,1,0
r62,accept,80,72,8,8,304,14,1,0,2,-1
r70,accept,63,72,25,8,287,13,1,0,1,-1
r71,accept,74,70,16,10,296,60,1,-3,2,0
r74,accept,55,77,28,3,284,19,1,-2,2,1
r77,accept,54,79,27,1,285,14,1,2,3,0
r96,accept,41,80,39,0,273,26,1,-2,2,1
r32,accept,114,35,11,45,301,21,2,0,-3,3
r9,accept,0,80,80,0,232,5,1,2,0,0
r82,accept,60,79,21,1,291,34,0,-1,3,-2
r8,accept,75,67,18,13,294,9,2,-2,1,1
r12,accept,77,73,10,7,302,25,1,-1,-2,2
r16,accept,65,78,17,2,295,23,0,1,2,-2
r84,accept,75,70,15,10,297,21,-1,1,-2,1
r87,accept,81,62,17,18,295,26,0,-3,1,1
r88,accept,62,77,21,3,291,16,1,0,1,1
r21,accept,72,70,18,10,294,12,1,0,2,1
r25,accept,32,77,51,3,261,13,1,-2,1,-2
r28,accept,74,73,13,7,299,11,1,0,1,1
r90,accept,87,62,11,18,301,23,1,1,0,-1
r98,accept,70,77,13,3,299,32,1,0,0,1
r101,neutral,68,74,18,6,294,16,2,0,2,2
r20,neutral,68,76,16,4,296,14,-1,1,1,2
r35,neutral,79,77,4,3,308,22,-1,-3,2,-1
r39,neutral,50,66,44,14,268,10,1,1,-1,1
r91,neutral,72,78,10,2,302,47,2,-2,2,2
r41,neutral,67,79,14,1,298,60,1,0,2,0
r48,neutral,74,75,11,5,301,60,3,-2,2,1
r57,neutral,75,45,40,35,272,41,3,1,-2,3
r53,neutral,92,53,15,27,297,58,2,2,-3,3
r54,neutral,76,68,16,12,296,56,3,0,0,3
r55,neutral,79,68,13,12,299,52,3,1,-1,2
r60,neutral,78,73,9,7,303,17,0,-1,2,-2
r66,neutral,59,80,21,0,291,44,1,-2,0,1
r67,neutral,61,66,33,14,279,19,0,-1,0,1
r31,neutral,65,80,15,0,297,29,-2,-1,2,2
r7,neutral,38,76,46,4,266,22,2,-3,-1,1
r5,neutral,62,77,21,3,291,37,3,-1,2,2
r1,neutral,50,79,31,1,281,60,0,0,3,1
r76,neutral,37,68,55,12,257,6,0,-2,0,0
r78,neutral,85,62,13,18,299,16,0,-3,1,-3
r17,neutral,76,76,8,4,304,30,-2,0,2,-2
r97,neutral,70,80,10,0,302,24,1,-1,0,0
r81,neutral,50,73,37,7,275,21,2,1,-1,1
r3,neutral,69,76,15,4,297,41,1,-2,2,1
r4,neutral,64,78,18,2,294,15,1,0,3,0
r10,neutral,64,80,16,0,296,21,1,0,1,1
r15,neutral,73,75,12,5,300,10,1,-2,1,0
r69,neutral,80,71,9,9,303,60,1,-2,1,1
r68,neutral,71,79,10,1,302,25,1,-1,3,-2
r89,neutral,86,69,5,11,307,15,-2,-3,2,-1
r18,neutral,65,67,28,13,284,7,0,1,0,-3
r22,neutral,66,71,23,9,289,15,0,1,2,0
r23,neutral,70,67,23,13,289,16,2,1,0,2
r27,neutral,56,74,30,6,282,19,1,-2,2,-3
r36,reject,81,72,7,8,305,18,-3,3,2,1
r100,reject,72,72,16,8,296,32,3,1,-3,2
r33,reject,72,76,12,4,300,58,-2,-2,0,-3
r44,reject,76,75,9,5,303,14,-3,-3,3,-3
r45,reject,72,78,10,2,302,9,-2,-3,3,-2
r46,reject,76,74,10,6,302,12,-3,-2,2,-2
r92,reject,68,75,17,5,295,32,-1,1,0,-1
r50,reject,74,74,12,6,300,11,-2,0,2,-2
r52,reject,76,71,13,9,299,12,-1,-2,2,-2
r58,reject,93,59,8,21,304,19,-1,-2,2,-2
r59,reject,87,65,8,15,304,12,2,0,2,1
r61,reject,76,66,18,14,294,26,0,0,1,1
r63,reject,36,68,56,12,256,25,1,1,-2,1
r64,reject,86,67,7,13,305,12,-1,0,1,1
r30,reject,160,0,0,80,312,5,3,0,-3,2
r94,reject,80,67,13,13,299,60,0,0,-1,1
r65,reject,73,72,15,8,297,16,-2,1,2,-3
r73,reject,75,70,15,10,297,9,2,1,0,1
r75,reject,78,78,4,2,308,13,0,-1,2,-2
r79,reject,56,76,28,4,284,26,1,0,2,0
r72,reject,78,72,10,8,302,60,-2,1,2,-2
r80,reject,65,78,17,2,295,15,1,2,2,0
r2,reject,62,79,19,1,293,34,-2,0,3,-2
r6,reject,78,67,15,13,297,12,-2,-1,-1,-3
r11,reject,153,0,7,80,305,6,0,0,-1,1
r83,reject,70,76,14,4,298,51,1,1,3,0
r86,reject,55,80,25,0,287,39,0,-3,2,1
r95,reject,71,75,14,5,298,29,1,-2,2,-2
r14,reject,69,67,24,13,288,25,1,1,2,-1
r85,reject,71,47,42,33,270,45,2,1,0,1
r19,reject,67,75,18,5,294,12,-1,-3,3,-1
r38,reject,85,66,9,14,303,16,1,-1,2,-2
r24,reject,78,65,17,15,295,19,2,1,-1,1
r26,reject,56,77,27,3,285,22,2,-2,2,0
